NAVN;ICAO;IATA;foh;moh;RULLEBANERETNING;KOORDINATER;
Sogndal lufthamn, Haukåsen;ENSG;SOG;1633;498;06/24;61.155684021415, 7.1362725298858;
Stavanger lufthavn, Sola;ENZV;SVG;29;9;18/36;58.882280535824, 5.6378484307005;
Stokmarknes lufthavn, Skagen;ENSK;SKN;13;4;08/26;68.580778026076, 15.021762884317;
Stord, Sørstokken;ENSO;SRP;161;49;14/32;59.791934968495, 5.3409015079346;
Sunndal, Vinnu;ENSU;;246;75;10/28;62.65683746409, 8.6812464724073;
Svalbard lufthavn, Longyear;ENSB;LYR;94;29;10/28;78.245854200115, 15.472046934293;
Svalbard, Ny Ålesund, Hamnerabben;ENAS;;131;40;12/30;78.927531892977, 11.876922341781;
Svalbard, Svea;ENSA;;32;10;04/22;77.896290411986, 16.724328523059;
Svolvær lufthavn, Helle;ENSH;SVJ;29;9;01/19;68.242251737933, 14.668506486261;
Sørkjosen lufthavn;ENSR;SOJ;16;5;14/32;69.786478367509, 20.960077309137;
Troll Runway (Antarktis);ENOE;;4167;1270;11/29;-71.956983902395, 2.4533704921575;
Tromsø lufthavn, Langnes;ENTC;TOS;32;10;18/36;69.68132880319, 18.915997505188;
Trondheim lufthavn, Værnes;ENVA;TRD;56;17;09/27;63.457580761374, 10.916800342371;
Trysil, Sæteråsen;ENTS;;1900;579;15/33;61.229834707648, 12.266655760379;
Tynset;ENTY;;1580;482;05/23;62.257102162103, 10.668855347573;
Vadsø lufthavn;ENVD;VDS;127;39;08/26;70.065211461762, 29.843821442318;
Valle, Åraksøyne (Sylvknapp);ENVE;;770;235;01/19;59.032495836141, 7.5549357574249;
Vardø lufthavn, Svartnes;ENSS;VAW;42;13;15/33;70.356117277166, 31.044204264146;
Æra;ENAE;;1620;494;01/19;61.258295577355, 11.670267343521;
Ørland;ENOL;OLA;28;9;16/34;63.699736992292, 9.603024482727;
Ørsta-Volda lufthamn, Hovden;ENOV;HOV;234;74;06/24;62.179590248644, 6.0722135203156;
Ålesund lufthavn, Vigra;ENAL;AES;69;21;06/24;62.560386615059, 6.1102979379621;
